,Method,Registered,Ballots Cast,Turnout (%),CAROL LEE TOLBERT,REBECCA KAPLAN,MICK STORM,THERESA ANDERSON,IGNACIO DE LA FUENTE,Write-In,Over Votes,Under Votes
213100,TC-Election Day Reporting,1047,296,28.27,22,109,20,17,86,1,,41
213100,TC-Vote by Mail Reporting,1047,542,51.77,44,223,22,36,170,,3,44
213300,TC-Election Day Reporting,1308,351,26.83,48,113,17,21,89,1,,62
213300,TC-Vote by Mail Reporting,1308,708,54.13,76,261,30,41,238,1,4,57
213400,TC-Election Day Reporting,679,215,31.66,24,94,7,12,55,1,,22
213400,TC-Vote by Mail Reporting,679,342,50.37,38,125,14,15,134,1,,15
213500,TC-Election Day Reporting,1182,312,26.4,33,99,19,12,102,,,47
213500,TC-Vote by Mail Reporting,1182,630,53.3,79,230,16,24,244,1,3,33
213600,TC-Election Day Reporting,798,265,33.21,27,100,6,19,68,2,,43
213600,TC-Vote by Mail Reporting,798,385,48.25,25,168,7,16,143,1,,25
213700,TC-Election Day Reporting,730,307,42.05,20,134,9,12,97,1,,34
213700,TC-Vote by Mail Reporting,730,297,40.68,20,116,17,9,110,1,,24
213800,TC-Election Day Reporting,1045,312,29.86,34,126,9,11,102,,,30
213800,TC-Vote by Mail Reporting,1045,533,51,63,164,23,16,229,1,,37
213900,TC-Election Day Reporting,572,206,36.01,27,69,9,6,70,,,25
213900,TC-Vote by Mail Reporting,572,273,47.73,27,99,3,6,117,,2,19
214100,TC-Election Day Reporting,790,282,35.7,22,101,5,15,99,3,,37
214100,TC-Vote by Mail Reporting,790,375,47.47,31,136,11,13,152,3,3,26
214200,TC-Election Day Reporting,1124,343,30.52,32,141,16,17,108,6,1,22
214200,TC-Vote by Mail Reporting,1124,592,52.67,43,223,26,18,242,,,40
214300,TC-Election Day Reporting,631,204,32.33,10,89,8,7,64,,1,25
214300,TC-Vote by Mail Reporting,631,322,51.03,24,104,9,17,144,4,2,18
214400,TC-Election Day Reporting,711,251,35.3,26,103,11,6,80,2,,23
214400,TC-Vote by Mail Reporting,711,370,52.04,22,145,19,13,143,1,,27
214500,TC-Election Day Reporting,614,236,38.44,19,92,8,3,79,2,,33
214500,TC-Vote by Mail Reporting,614,303,49.35,15,143,9,7,104,,2,23
214600,TC-Election Day Reporting,1017,322,31.66,28,172,8,11,57,1,2,43
214600,TC-Vote by Mail Reporting,1017,510,50.15,36,255,8,17,143,1,1,49
214800,TC-Election Day Reporting,1076,415,38.57,43,207,12,15,82,,1,55
214800,TC-Vote by Mail Reporting,1076,492,45.72,34,269,8,20,120,2,1,38
215100,TC-Election Day Reporting,1103,450,40.8,64,234,6,32,55,4,1,54
215100,TC-Vote by Mail Reporting,1103,424,38.44,35,248,11,38,58,1,1,32
215120,TC-Election Day Reporting,1139,472,41.44,31,265,11,22,81,3,,59
215120,TC-Vote by Mail Reporting,1139,496,43.55,21,301,14,22,93,2,,43
215200,TC-Election Day Reporting,707,301,42.57,36,165,6,21,41,3,,29
215200,TC-Vote by Mail Reporting,707,325,45.97,20,188,8,15,64,,1,29
215300,TC-Election Day Reporting,1050,399,38,26,219,9,24,87,,,34
215300,TC-Vote by Mail Reporting,1050,462,44,37,250,16,11,110,,,38
215500,TC-Election Day Reporting,721,274,38,23,165,12,12,33,1,1,27
215500,TC-Vote by Mail Reporting,721,320,44.38,33,168,5,18,77,,1,18
215610,TC-Election Day Reporting,1368,520,38.01,51,280,9,50,50,1,5,74
215610,TC-Vote by Mail Reporting,1368,531,38.82,48,292,11,43,84,1,4,48
215700,TC-Election Day Reporting,894,328,36.69,22,202,7,22,51,3,,21
215700,TC-Vote by Mail Reporting,894,337,37.7,36,205,12,19,39,,3,23
215800,TC-Election Day Reporting,831,351,42.24,37,190,13,31,45,2,,33
215800,TC-Vote by Mail Reporting,831,242,29.12,26,131,4,25,33,,2,21
215900,TC-Election Day Reporting,561,250,44.56,31,129,8,18,31,1,,32
215900,TC-Vote by Mail Reporting,561,160,28.52,19,76,3,19,29,2,,12
223000,TC-Election Day Reporting,677,250,36.93,25,127,10,8,31,3,,46
223000,TC-Vote by Mail Reporting,677,287,42.39,25,160,7,15,57,,1,22
223010,TC-Election Day Reporting,956,362,37.87,38,197,12,22,59,,,34
223010,TC-Vote by Mail Reporting,956,384,40.17,26,230,15,22,67,3,1,20
223200,TC-Election Day Reporting,1291,460,35.63,51,229,14,17,76,1,2,70
223200,TC-Vote by Mail Reporting,1291,578,44.77,50,307,17,27,127,1,,49
223300,TC-Election Day Reporting,886,284,32.05,35,149,5,21,61,1,,12
223300,TC-Vote by Mail Reporting,886,393,44.36,28,206,15,26,87,1,2,28
223400,TC-Election Day Reporting,691,233,33.72,22,129,5,7,29,,1,40
223400,TC-Vote by Mail Reporting,691,319,46.16,21,182,5,15,61,2,7,26
224000,TC-Election Day Reporting,920,279,30.33,32,129,6,10,83,,1,18
224000,TC-Vote by Mail Reporting,920,499,54.24,38,224,13,15,183,3,1,22
224200,TC-Election Day Reporting,1302,437,33.56,47,202,12,9,126,3,,38
224200,TC-Vote by Mail Reporting,1302,665,51.08,42,310,21,22,231,2,1,36
224400,TC-Election Day Reporting,459,171,37.25,20,76,5,7,54,,,9
224400,TC-Vote by Mail Reporting,459,203,44.23,21,86,4,4,77,,,11
224500,TC-Election Day Reporting,1160,440,37.93,43,214,11,17,127,1,,27
224500,TC-Vote by Mail Reporting,1160,509,43.88,46,236,14,20,160,3,7,23
224600,TC-Election Day Reporting,885,294,33.22,19,159,5,9,72,2,1,27
224600,TC-Vote by Mail Reporting,885,441,49.83,28,209,12,18,151,,1,22
224700,TC-Election Day Reporting,981,321,32.72,49,131,6,13,83,1,2,36
224700,TC-Vote by Mail Reporting,981,449,45.77,49,201,18,12,144,4,,21
224800,TC-Election Day Reporting,469,157,33.48,10,82,5,8,45,,,7
224800,TC-Vote by Mail Reporting,469,210,44.78,22,102,4,9,61,3,,9
225000,TC-Election Day Reporting,555,215,38.74,14,139,2,11,34,,,15
225000,TC-Vote by Mail Reporting,555,235,42.34,19,135,6,14,47,,2,12
225100,TC-Election Day Reporting,852,338,39.67,37,191,7,17,42,1,,43
225100,TC-Vote by Mail Reporting,852,338,39.67,27,219,5,22,45,,1,19
225200,TC-Election Day Reporting,603,258,42.79,25,134,6,19,47,1,,26
225200,TC-Vote by Mail Reporting,603,215,35.66,17,126,3,22,28,1,2,16
225400,TC-Election Day Reporting,1207,416,34.47,49,218,8,17,92,,,32
225400,TC-Vote by Mail Reporting,1207,537,44.49,60,281,15,18,128,5,2,28
225600,TC-Election Day Reporting,723,275,38.04,33,126,12,13,53,4,,34
225600,TC-Vote by Mail Reporting,723,299,41.36,30,173,7,17,55,,,17
225700,TC-Election Day Reporting,925,315,34.05,33,175,6,19,68,1,,13
225700,TC-Vote by Mail Reporting,925,400,43.24,38,218,18,23,80,,2,21
225710,TC-Election Day Reporting,1026,366,35.67,44,178,18,20,56,,,50
225710,TC-Vote by Mail Reporting,1026,478,46.59,45,244,11,24,129,,1,24
225810,TC-Election Day Reporting,655,238,36.34,23,134,3,21,26,2,,29
225810,TC-Vote by Mail Reporting,655,299,45.65,33,166,7,18,59,,1,15
225900,TC-Election Day Reporting,840,245,29.17,19,120,8,8,73,2,1,14
225900,TC-Vote by Mail Reporting,840,437,52.02,35,207,23,11,141,2,1,17
225910,TC-Election Day Reporting,1236,429,34.71,44,242,12,20,63,3,,45
225910,TC-Vote by Mail Reporting,1236,557,45.06,56,271,18,34,136,3,1,38
226100,TC-Election Day Reporting,715,254,35.52,19,104,6,11,100,2,,12
226100,TC-Vote by Mail Reporting,715,361,50.49,18,136,5,16,161,,,25
226200,TC-Election Day Reporting,1018,319,31.34,38,155,6,17,80,,,23
226200,TC-Vote by Mail Reporting,1018,511,50.2,53,256,23,15,144,2,2,16
226300,TC-Election Day Reporting,761,224,29.43,26,82,5,12,83,,,16
226300,TC-Vote by Mail Reporting,761,401,52.69,33,178,8,14,148,1,1,18
226400,TC-Election Day Reporting,681,187,27.46,22,67,11,2,76,,,9
226400,TC-Vote by Mail Reporting,681,378,55.51,39,145,6,21,155,1,,11
244000,TC-Election Day Reporting,810,265,32.72,30,103,8,5,85,1,,33
244000,TC-Vote by Mail Reporting,810,410,50.62,30,177,18,13,152,,3,17
244100,TC-Election Day Reporting,1016,306,30.12,31,127,12,21,90,1,1,23
244100,TC-Vote by Mail Reporting,1016,522,51.38,70,200,19,22,181,5,2,23
244200,TC-Election Day Reporting,778,259,33.29,33,104,10,7,77,,,28
244200,TC-Vote by Mail Reporting,778,390,50.13,38,157,8,18,148,1,,20
