Precinct,Method,Registered,Ballots Cast,Turnout (%),JANE BRUNNER,BARBARA PARKER,Write-In,Over Votes,Under Votes
213100,TC-Election Day Reporting,1047,296,28.27,88,156,3,,49
213100,TC-Vote by Mail Reporting,1047,542,51.77,187,283,2,1,69
213300,TC-Election Day Reporting,1308,351,26.83,113,139,3,1,95
213300,TC-Vote by Mail Reporting,1308,708,54.13,271,343,1,1,92
213400,TC-Election Day Reporting,679,215,31.66,67,103,3,1,41
213400,TC-Vote by Mail Reporting,679,342,50.37,130,170,,,42
213500,TC-Election Day Reporting,1182,312,26.4,102,131,2,,77
213500,TC-Vote by Mail Reporting,1182,630,53.3,241,333,2,,54
213600,TC-Election Day Reporting,798,265,33.21,75,115,6,,69
213600,TC-Vote by Mail Reporting,798,385,48.25,123,207,,,55
213700,TC-Election Day Reporting,730,307,42.05,93,144,1,,69
213700,TC-Vote by Mail Reporting,730,297,40.68,86,161,,,50
213800,TC-Election Day Reporting,1045,312,29.86,93,150,1,,68
213800,TC-Vote by Mail Reporting,1045,533,51,212,249,2,3,67
213900,TC-Election Day Reporting,572,206,36.01,69,94,1,,42
213900,TC-Vote by Mail Reporting,572,273,47.73,117,129,,1,26
214100,TC-Election Day Reporting,790,282,35.7,98,116,1,1,66
214100,TC-Vote by Mail Reporting,790,375,47.47,151,164,3,1,56
214200,TC-Election Day Reporting,1124,343,30.52,120,170,2,,51
214200,TC-Vote by Mail Reporting,1124,592,52.67,227,288,1,,76
214300,TC-Election Day Reporting,631,204,32.33,82,86,,1,35
214300,TC-Vote by Mail Reporting,631,322,51.03,135,160,1,1,25
214400,TC-Election Day Reporting,711,251,35.3,74,137,1,,39
214400,TC-Vote by Mail Reporting,711,370,52.04,142,192,2,1,33
214500,TC-Election Day Reporting,614,236,38.44,74,115,2,,45
214500,TC-Vote by Mail Reporting,614,303,49.35,140,133,,,30
214600,TC-Election Day Reporting,1017,322,31.66,85,158,2,,77
214600,TC-Vote by Mail Reporting,1017,510,50.15,199,241,3,1,66
214800,TC-Election Day Reporting,1076,415,38.57,146,192,,,77
214800,TC-Vote by Mail Reporting,1076,492,45.72,176,258,2,,56
215100,TC-Election Day Reporting,1103,450,40.8,126,226,3,,95
215100,TC-Vote by Mail Reporting,1103,424,38.44,137,230,1,1,55
215120,TC-Election Day Reporting,1139,472,41.44,181,198,2,,91
215120,TC-Vote by Mail Reporting,1139,496,43.55,177,255,3,,61
215200,TC-Election Day Reporting,707,301,42.57,77,169,1,,54
215200,TC-Vote by Mail Reporting,707,325,45.97,114,175,,,36
215300,TC-Election Day Reporting,1050,399,38,144,186,1,,68
215300,TC-Vote by Mail Reporting,1050,462,44,190,215,1,1,55
215500,TC-Election Day Reporting,721,274,38,76,146,,,52
215500,TC-Vote by Mail Reporting,721,320,44.38,112,170,1,2,35
215610,TC-Election Day Reporting,1368,520,38.01,111,286,1,,122
215610,TC-Vote by Mail Reporting,1368,531,38.82,174,266,3,2,86
215700,TC-Election Day Reporting,894,328,36.69,97,178,2,,51
215700,TC-Vote by Mail Reporting,894,337,37.7,97,204,3,1,32
215800,TC-Election Day Reporting,831,351,42.24,85,182,1,,83
215800,TC-Vote by Mail Reporting,831,242,29.12,74,127,2,,39
215900,TC-Election Day Reporting,561,250,44.56,59,128,3,,60
215900,TC-Vote by Mail Reporting,561,160,28.52,49,85,1,,25
223000,TC-Election Day Reporting,677,250,36.93,61,115,3,,71
223000,TC-Vote by Mail Reporting,677,287,42.39,99,149,1,,38
223010,TC-Election Day Reporting,956,362,37.87,111,176,,,75
223010,TC-Vote by Mail Reporting,956,384,40.17,137,203,1,2,41
223200,TC-Election Day Reporting,1291,460,35.63,108,214,2,,136
223200,TC-Vote by Mail Reporting,1291,578,44.77,182,306,,1,89
223300,TC-Election Day Reporting,886,284,32.05,77,160,1,,46
223300,TC-Vote by Mail Reporting,886,393,44.36,131,215,,,47
223400,TC-Election Day Reporting,691,233,33.72,74,107,,,52
223400,TC-Vote by Mail Reporting,691,319,46.16,86,190,1,1,41
224000,TC-Election Day Reporting,920,279,30.33,57,168,1,,53
224000,TC-Vote by Mail Reporting,920,499,54.24,131,302,3,1,62
224200,TC-Election Day Reporting,1302,437,33.56,101,249,2,,85
224200,TC-Vote by Mail Reporting,1302,665,51.08,186,383,1,4,91
224400,TC-Election Day Reporting,459,171,37.25,43,99,,,29
224400,TC-Vote by Mail Reporting,459,203,44.23,58,124,1,,20
224500,TC-Election Day Reporting,1160,440,37.93,102,262,3,,73
224500,TC-Vote by Mail Reporting,1160,509,43.88,123,325,1,1,59
224600,TC-Election Day Reporting,885,294,33.22,59,174,,,61
224600,TC-Vote by Mail Reporting,885,441,49.83,109,272,,,60
224700,TC-Election Day Reporting,981,321,32.72,69,181,3,,68
224700,TC-Vote by Mail Reporting,981,449,45.77,107,269,2,,71
