Precinct,method,Registered,Ballots Cast,Turnout (%),GORDON ''DON'' LINK,CRAIG BRANDT,RICHARD RAYA,LEN RAPHAEL,AMY LEMLEY,DAN KALB,DONALD MACLEAY,Write-In,Over Votes,Under Votes
213100,TC-Election Day Reporting,1047,296,28.27,25,7,50,20,59,67,13,3,,52
213100,TC-Vote by Mail Reporting,1047,542,51.77,38,36,98,15,107,152,23,1,3,69
213300,TC-Election Day Reporting,1308,351,26.83,23,31,36,24,48,80,12,1,1,95
213300,TC-Vote by Mail Reporting,1308,708,54.13,68,55,100,50,123,178,20,1,4,109
213400,TC-Election Day Reporting,679,215,31.66,12,13,33,15,33,54,5,1,2,47
213400,TC-Vote by Mail Reporting,679,342,50.37,39,23,44,21,91,77,9,,,38
213500,TC-Election Day Reporting,1182,312,26.4,29,13,34,25,65,63,12,1,,70
213500,TC-Vote by Mail Reporting,1182,630,53.3,54,43,111,51,135,139,10,,1,86
213800,TC-Election Day Reporting,1045,312,29.86,17,11,54,17,75,75,6,1,,56
213800,TC-Vote by Mail Reporting,1045,533,51,32,31,95,31,152,109,6,2,3,72
213900,TC-Election Day Reporting,572,206,36.01,8,3,34,14,61,46,5,,,35
213900,TC-Vote by Mail Reporting,572,273,47.73,21,8,46,14,75,62,13,,3,31
214100,TC-Election Day Reporting,790,282,35.7,5,10,55,12,65,68,4,1,,62
214100,TC-Vote by Mail Reporting,790,375,47.47,25,14,79,31,73,90,8,3,1,51
214200,TC-Election Day Reporting,1124,343,30.52,10,8,47,34,118,65,13,3,,45
214200,TC-Vote by Mail Reporting,1124,592,52.67,27,37,84,54,183,117,16,,4,70
214300,TC-Election Day Reporting,631,204,32.33,5,12,23,16,44,67,4,,1,32
214300,TC-Vote by Mail Reporting,631,322,51.03,15,15,55,26,68,105,4,1,,33
214400,TC-Election Day Reporting,711,251,35.3,15,7,41,22,70,48,4,1,,43
214400,TC-Vote by Mail Reporting,711,370,52.04,10,17,57,21,119,90,11,,,45
214500,TC-Election Day Reporting,614,236,38.44,6,4,29,19,85,53,2,1,,37
214500,TC-Vote by Mail Reporting,614,303,49.35,10,10,41,24,94,95,3,,,26
214600,TC-Election Day Reporting,1017,322,31.66,14,7,49,12,83,84,11,1,1,60
214600,TC-Vote by Mail Reporting,1017,510,50.15,22,17,55,26,128,192,12,1,2,55
214800,TC-Election Day Reporting,1076,415,38.57,21,13,35,31,86,141,20,,1,67
214800,TC-Vote by Mail Reporting,1076,492,45.72,16,17,64,37,143,158,17,1,,39
215100,TC-Election Day Reporting,1103,450,40.8,16,9,77,19,104,115,22,2,,86
215100,TC-Vote by Mail Reporting,1103,424,38.44,20,18,90,16,95,114,28,1,4,38
215120,TC-Election Day Reporting,1139,472,41.44,22,14,86,25,103,132,12,,1,77
215120,TC-Vote by Mail Reporting,1139,496,43.55,14,13,84,34,107,165,25,2,1,51
215200,TC-Election Day Reporting,707,301,42.57,15,10,46,11,70,75,26,2,1,45
215200,TC-Vote by Mail Reporting,707,325,45.97,14,13,55,10,75,95,26,,1,36
215300,TC-Election Day Reporting,1050,399,38,12,17,60,22,147,75,14,1,,51
215300,TC-Vote by Mail Reporting,1050,462,44,14,25,73,28,177,93,12,,,40
215500,TC-Election Day Reporting,721,274,38,12,10,40,13,52,91,16,,,40
215500,TC-Vote by Mail Reporting,721,320,44.38,16,9,42,23,64,120,15,,1,30
215610,TC-Election Day Reporting,1368,520,38.01,22,13,97,33,101,103,37,1,1,112
215610,TC-Vote by Mail Reporting,1368,531,38.82,21,16,102,41,131,110,34,1,2,73
215700,TC-Election Day Reporting,894,328,36.69,12,5,63,27,63,88,25,3,,42
215700,TC-Vote by Mail Reporting,894,337,37.7,19,17,66,35,57,85,27,,1,30
215800,TC-Election Day Reporting,831,351,42.24,18,14,61,25,46,77,24,1,,85
215800,TC-Vote by Mail Reporting,831,242,29.12,15,13,43,12,50,48,26,2,,33
223000,TC-Election Day Reporting,677,250,36.93,14,9,40,18,34,56,14,3,,62
223000,TC-Vote by Mail Reporting,677,287,42.39,8,13,48,16,78,75,16,2,,31
223010,TC-Election Day Reporting,956,362,37.87,21,7,57,19,81,87,26,,,64
223010,TC-Vote by Mail Reporting,956,384,40.17,22,14,68,33,70,112,23,1,1,40
223200,TC-Election Day Reporting,1291,460,35.63,21,16,64,15,79,117,26,2,,120
223200,TC-Vote by Mail Reporting,1291,578,44.77,19,17,88,31,137,168,39,2,1,76
223300,TC-Election Day Reporting,886,284,32.05,19,9,46,14,53,65,25,1,2,50
223300,TC-Vote by Mail Reporting,886,393,44.36,27,13,63,20,74,101,33,,2,60
223400,TC-Election Day Reporting,691,233,33.72,9,8,33,10,26,79,13,,,55
223400,TC-Vote by Mail Reporting,691,319,46.16,9,17,57,13,31,127,13,,5,47
225000,TC-Election Day Reporting,555,215,38.74,5,3,25,29,63,55,13,,,22
225000,TC-Vote by Mail Reporting,555,235,42.34,7,3,41,33,63,61,19,1,,7
225100,TC-Election Day Reporting,852,338,39.67,7,4,70,17,69,82,16,1,,72
225100,TC-Vote by Mail Reporting,852,338,39.67,22,8,77,18,63,93,27,,1,29
225200,TC-Election Day Reporting,603,258,42.79,8,4,44,19,49,63,19,1,,51
225200,TC-Vote by Mail Reporting,603,215,35.66,9,2,43,16,40,40,29,,,36
225400,TC-Election Day Reporting,1207,416,34.47,11,17,64,15,84,117,12,,,96
225400,TC-Vote by Mail Reporting,1207,537,44.49,24,32,101,25,104,147,22,4,1,77
310000,TC-Election Day Reporting,985,402,40.81,29,20,60,8,104,75,27,3,1,75
310000,TC-Vote by Mail Reporting,985,316,32.08,16,17,60,4,85,64,18,,3,49
310100,TC-Election Day Reporting,894,347,38.81,23,15,73,15,54,52,23,2,,90
310100,TC-Vote by Mail Reporting,894,304,34,17,12,68,14,56,61,25,2,1,48
310200,TC-Election Day Reporting,816,284,34.8,25,11,46,17,60,44,17,1,,63
310200,TC-Vote by Mail Reporting,816,310,37.99,18,24,43,17,49,83,31,2,,43
310300,TC-Election Day Reporting,721,302,41.89,20,17,44,11,55,59,22,3,,71
310300,TC-Vote by Mail Reporting,721,263,36.48,29,9,50,11,61,46,17,1,5,34
310400,TC-Election Day Reporting,819,368,44.93,38,15,71,9,63,50,31,3,,88
310400,TC-Vote by Mail Reporting,819,247,30.16,20,6,50,6,55,55,19,,4,32
310500,TC-Election Day Reporting,651,282,43.32,9,14,68,15,42,51,18,2,1,62
310500,TC-Vote by Mail Reporting,651,223,34.25,9,13,48,8,39,53,15,1,1,36
310600,TC-Election Day Reporting,863,332,38.47,25,10,66,11,35,63,21,2,,99
310600,TC-Vote by Mail Reporting,863,310,35.92,22,11,63,13,56,76,29,1,3,36
310700,TC-Election Day Reporting,1351,569,42.12,24,11,155,12,82,114,37,3,1,130
310700,TC-Vote by Mail Reporting,1351,454,33.6,27,16,144,17,87,78,36,1,1,47
310900,TC-Election Day Reporting,1367,561,41.04,93,10,103,12,70,133,27,3,,110
310900,TC-Vote by Mail Reporting,1367,519,37.97,99,12,84,8,75,137,48,,1,55
311100,TC-Election Day Reporting,1375,580,42.18,44,20,87,26,85,142,49,1,2,124
311100,TC-Vote by Mail Reporting,1375,471,34.25,60,22,87,30,83,93,39,1,2,54
311200,TC-Election Day Reporting,1282,493,38.46,57,15,64,23,71,114,30,1,2,116
311200,TC-Vote by Mail Reporting,1282,456,35.57,73,17,74,21,92,84,30,1,9,55
311400,TC-Election Day Reporting,898,311,34.63,21,13,57,16,45,79,20,1,,59
311400,TC-Vote by Mail Reporting,898,305,33.96,22,14,58,12,60,75,21,,4,39
311510,TC-Election Day Reporting,1476,594,40.24,41,31,98,28,133,106,35,5,1,116
311510,TC-Vote by Mail Reporting,1476,518,35.09,38,26,88,26,107,109,42,1,1,80
311700,TC-Election Day Reporting,1436,490,34.12,37,23,57,28,79,96,20,3,1,146
311700,TC-Vote by Mail Reporting,1436,422,29.39,38,26,74,7,95,105,30,2,4,41
9213000,TC-Election Day Reporting,413,7,1.69,,1,1,,2,,,,,3
9213000,TC-Vote by Mail Reporting,413,300,72.64,32,18,35,20,88,59,15,,,33
9215630,TC-Election Day Reporting,207,41,19.81,4,2,,4,6,4,3,,1,17
9215630,TC-Vote by Mail Reporting,207,96,46.38,3,4,6,11,24,23,6,1,1,17
9215810,TC-Election Day Reporting,50,6,12,,,1,1,,1,,,,3
9215810,TC-Vote by Mail Reporting,50,22,44,1,1,4,,5,2,3,,,6
9223100,TC-Election Day Reporting,273,10,3.66,1,,1,1,1,3,1,,,2
9223100,TC-Vote by Mail Reporting,273,229,83.88,13,6,25,21,51,69,20,,,24
9223110,TC-Election Day Reporting,136,4,2.94,,,,,2,2,,,,
9223110,TC-Vote by Mail Reporting,136,103,75.74,6,10,20,7,17,21,4,,1,17
9225500,TC-Election Day Reporting,110,7,6.36,,,1,,,,,,,6
9225500,TC-Vote by Mail Reporting,110,73,66.36,5,5,7,6,18,15,2,1,,14
9244110,TC-Election Day Reporting,213,5,2.35,,,,,,1,,,,4
9244110,TC-Vote by Mail Reporting,213,173,81.22,14,12,20,12,25,40,7,,1,42
