Precinct,Method,Registered,Ballots Cast,Turnout (%),"LARRY LIONEL YOUNG, JR.",SEAN SULLIVAN,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE,Write-In,Over Votes,Under Votes
215900,TC-Election Day Reporting,561,250,44.56,14,56,31,19,46,18,2,,64
215900,TC-Vote by Mail Reporting,561,160,28.52,4,46,29,16,31,11,1,,22
323000,TC-Election Day Reporting,795,296,37.23,19,66,43,37,46,17,1,,67
323000,TC-Vote by Mail Reporting,795,321,40.38,18,88,42,41,52,21,2,2,55
325100,TC-Election Day Reporting,1686,547,32.44,35,133,62,84,104,36,1,,92
325100,TC-Vote by Mail Reporting,1686,697,41.34,41,191,72,94,138,59,1,5,96
325200,TC-Election Day Reporting,937,395,42.16,24,71,35,58,90,20,2,,95
325200,TC-Vote by Mail Reporting,937,338,36.07,25,77,40,41,70,26,2,1,56
325300,TC-Election Day Reporting,1317,367,27.87,23,81,32,65,66,24,2,1,73
325300,TC-Vote by Mail Reporting,1317,619,47,45,163,53,82,116,53,3,6,98
325400,TC-Election Day Reporting,714,245,34.31,22,58,24,44,36,17,1,,43
325400,TC-Vote by Mail Reporting,714,291,40.76,23,68,27,37,69,23,2,2,40
325500,TC-Election Day Reporting,810,254,31.36,17,57,16,46,40,17,3,,58
325500,TC-Vote by Mail Reporting,810,380,46.91,16,102,44,50,82,27,,,59
325510,TC-Election Day Reporting,1365,436,31.94,43,81,31,80,91,34,2,,74
325510,TC-Vote by Mail Reporting,1365,597,43.74,37,156,67,70,128,40,3,5,91
325600,TC-Election Day Reporting,804,206,25.62,14,38,21,27,47,21,3,,35
325600,TC-Vote by Mail Reporting,804,419,52.11,18,86,45,40,105,46,1,2,76
325700,TC-Election Day Reporting,1289,520,40.34,24,100,52,82,113,38,2,1,108
325700,TC-Vote by Mail Reporting,1289,554,42.98,29,170,51,82,116,34,1,1,70
325800,TC-Election Day Reporting,1242,461,37.12,13,110,40,84,79,32,2,,101
325800,TC-Vote by Mail Reporting,1242,528,42.51,18,160,47,53,115,50,,2,83
333100,TC-Election Day Reporting,966,371,38.41,29,83,36,47,59,18,4,2,93
333100,TC-Vote by Mail Reporting,966,375,38.82,32,101,49,40,54,28,1,1,69
333200,TC-Election Day Reporting,1610,490,30.43,33,120,39,50,114,30,4,,100
333200,TC-Vote by Mail Reporting,1610,709,44.04,46,199,52,70,143,42,4,5,148
333410,TC-Election Day Reporting,1270,383,30.16,33,96,27,39,72,22,4,,90
333410,TC-Vote by Mail Reporting,1270,629,49.53,39,210,48,54,121,51,2,2,102
333500,TC-Election Day Reporting,1133,383,33.8,24,95,37,57,76,17,1,,76
333500,TC-Vote by Mail Reporting,1133,466,41.13,23,124,52,48,110,41,,,68
333510,TC-Election Day Reporting,715,265,37.06,27,51,24,40,39,14,3,1,66
333510,TC-Vote by Mail Reporting,715,306,42.8,22,68,42,39,58,26,2,1,48
333600,TC-Election Day Reporting,471,121,25.69,14,18,13,18,18,5,,,35
333600,TC-Vote by Mail Reporting,471,226,47.98,15,63,24,16,48,18,,,42
335000,TC-Election Day Reporting,1299,489,37.64,35,107,61,58,78,58,2,,90
335000,TC-Vote by Mail Reporting,1299,403,31.02,20,149,37,38,73,39,2,2,43
335100,TC-Election Day Reporting,1171,445,38,39,57,41,78,53,85,2,4,86
335100,TC-Vote by Mail Reporting,1171,311,26.56,34,47,52,50,38,55,1,1,33
335200,TC-Election Day Reporting,574,239,41.64,22,33,38,34,47,10,3,1,51
335200,TC-Vote by Mail Reporting,574,172,29.97,14,22,37,25,40,11,,5,18
335300,TC-Election Day Reporting,1029,391,38,22,59,52,59,81,27,2,2,87
335300,TC-Vote by Mail Reporting,1029,297,28.86,18,54,32,48,78,12,,1,54
335400,TC-Election Day Reporting,1376,435,31.61,31,58,51,110,57,45,6,,77
335400,TC-Vote by Mail Reporting,1376,355,25.8,27,65,61,72,63,37,,1,29
335500,TC-Election Day Reporting,529,213,40.26,22,30,32,46,32,11,2,1,37
335500,TC-Vote by Mail Reporting,529,129,24.39,8,33,16,15,23,12,2,,20
335700,TC-Election Day Reporting,1018,344,33.79,31,81,32,50,49,21,2,,78
335700,TC-Vote by Mail Reporting,1018,380,37.33,38,86,45,60,67,20,1,3,60
335710,TC-Election Day Reporting,699,249,35.62,29,50,24,65,27,6,2,,46
335710,TC-Vote by Mail Reporting,699,259,37.05,30,65,25,44,41,20,2,,32
335810,TC-Election Day Reporting,713,181,25.39,21,28,15,33,32,14,2,1,35
335810,TC-Vote by Mail Reporting,713,231,32.4,23,51,20,34,44,19,1,3,36
335900,TC-Election Day Reporting,775,343,44.26,18,33,69,51,92,14,,1,65
335900,TC-Vote by Mail Reporting,775,199,25.68,15,37,26,26,62,14,1,1,17
336100,TC-Election Day Reporting,1245,490,39.36,39,85,56,100,73,50,5,2,80
336100,TC-Vote by Mail Reporting,1245,386,31,17,77,65,54,89,27,4,2,51
336200,TC-Election Day Reporting,1003,372,37.09,28,43,68,90,59,20,1,,63
336200,TC-Vote by Mail Reporting,1003,246,24.53,22,35,44,62,48,14,1,3,17
336400,TC-Election Day Reporting,797,333,41.78,20,46,48,43,66,32,,1,77
336400,TC-Vote by Mail Reporting,797,199,24.97,15,29,42,24,48,20,4,1,16
336500,TC-Election Day Reporting,1460,578,39.59,61,58,82,140,117,31,3,1,85
336500,TC-Vote by Mail Reporting,1460,424,29.04,46,73,61,67,101,39,2,4,31
336600,TC-Election Day Reporting,1317,478,36.29,42,46,97,82,98,22,1,,90
336600,TC-Vote by Mail Reporting,1317,388,29.46,34,79,55,62,82,26,1,1,48
336710,TC-Election Day Reporting,1416,523,36.94,43,56,89,106,89,26,1,1,112
336710,TC-Vote by Mail Reporting,1416,406,28.67,40,48,76,73,89,16,3,7,54
336900,TC-Election Day Reporting,863,298,34.53,23,60,24,44,67,13,2,,65
336900,TC-Vote by Mail Reporting,863,356,41.25,36,105,31,34,62,31,3,2,52
337100,TC-Election Day Reporting,344,103,29.94,9,15,16,17,18,4,1,1,22
337100,TC-Vote by Mail Reporting,344,108,31.4,14,30,10,10,16,3,2,1,22
337200,TC-Election Day Reporting,481,153,31.81,7,37,17,12,35,4,,,41
337200,TC-Vote by Mail Reporting,481,155,32.22,15,37,16,15,30,6,,,36
9325000,TC-Election Day Reporting,295,35,11.86,1,1,2,,,1,,,30
9325000,TC-Vote by Mail Reporting,295,160,54.24,9,44,21,14,33,20,1,,18
9333610,TC-Election Day Reporting,67,3,4.48,,,,,1,,,,2
9333610,TC-Vote by Mail Reporting,67,45,67.16,6,3,6,1,9,14,,,6
9335110,TC-Election Day Reporting,181,20,11.05,4,1,3,,4,2,,,6
9335110,TC-Vote by Mail Reporting,181,87,48.07,7,14,18,13,24,6,,,5
9335600,TC-Election Day Reporting,281,30,10.68,6,1,4,2,7,1,,,9
9335600,TC-Vote by Mail Reporting,281,117,41.64,6,21,11,24,36,11,,,8
9335800,TC-Election Day Reporting,239,19,7.95,3,4,2,4,2,,,,4
9335800,TC-Vote by Mail Reporting,239,125,52.3,20,18,20,13,34,5,1,,14
9335910,TC-Election Day Reporting,110,11,10,1,1,2,2,1,,,,4
9335910,TC-Vote by Mail Reporting,110,54,49.09,7,8,10,6,8,5,1,2,7
9336300,TC-Election Day Reporting,36,1,2.78,,,,,,,,,1
9336300,TC-Vote by Mail Reporting,36,24,66.67,2,9,5,3,1,2,,,2
