Precinct,Method,Registered,Ballots Cast,Turnout (%),DAWN MCMAHAN,MARIO JUAREZ,ARACELY ''SHELLY'' GARZA,NOEL GALLO,Write-In,Over Votes,Under Votes
224200,TC-Election Day Reporting,1302,437,33.56,39,142,11,154,2,1,88
224200,TC-Vote by Mail Reporting,1302,665,51.08,66,180,39,275,2,7,96
224400,TC-Election Day Reporting,459,171,37.25,21,51,4,61,,,34
224400,TC-Vote by Mail Reporting,459,203,44.23,28,59,6,86,3,2,19
224500,TC-Election Day Reporting,1160,440,37.93,58,128,15,170,1,,68
224500,TC-Vote by Mail Reporting,1160,509,43.88,61,173,29,185,,,61
224600,TC-Election Day Reporting,885,294,33.22,37,92,10,93,,,62
224600,TC-Vote by Mail Reporting,885,441,49.83,55,147,21,156,,2,60
334600,TC-Election Day Reporting,1367,498,36.43,71,109,33,138,1,,146
334600,TC-Vote by Mail Reporting,1367,474,34.67,105,102,31,181,1,2,52
334700,TC-Election Day Reporting,570,213,37.37,31,49,20,66,,3,44
334700,TC-Vote by Mail Reporting,570,167,29.3,35,52,11,55,,,14
344010,TC-Election Day Reporting,686,204,29.74,26,76,4,56,4,,38
344010,TC-Vote by Mail Reporting,686,215,31.34,52,60,16,69,2,,16
344100,TC-Election Day Reporting,601,209,34.78,25,68,6,62,3,,45
344100,TC-Vote by Mail Reporting,601,200,33.28,38,50,13,80,,,19
354100,TC-Election Day Reporting,1475,463,31.39,60,181,15,103,3,1,100
354100,TC-Vote by Mail Reporting,1475,554,37.56,116,159,16,187,5,1,70
354110,TC-Election Day Reporting,624,197,31.57,24,60,11,63,,1,38
354110,TC-Vote by Mail Reporting,624,253,40.54,41,84,11,95,,1,21
354500,TC-Election Day Reporting,1360,403,29.63,59,117,20,96,8,2,101
354500,TC-Vote by Mail Reporting,1360,417,30.66,88,113,29,135,2,4,46
354700,TC-Election Day Reporting,851,259,30.43,32,58,22,77,2,2,66
354700,TC-Vote by Mail Reporting,851,295,34.67,58,76,25,108,,3,25
354900,TC-Election Day Reporting,658,204,31,46,59,7,50,2,,40
354900,TC-Vote by Mail Reporting,658,204,31,49,62,14,52,3,3,21
354910,TC-Election Day Reporting,794,277,34.89,34,62,24,96,2,2,57
354910,TC-Vote by Mail Reporting,794,240,30.23,47,54,17,90,2,3,27
355000,TC-Election Day Reporting,690,214,31.01,30,50,7,71,1,,55
355000,TC-Vote by Mail Reporting,690,243,35.22,43,63,16,92,2,2,25
355100,TC-Election Day Reporting,1099,309,28.12,25,120,13,85,1,1,64
355100,TC-Vote by Mail Reporting,1099,397,36.12,67,101,12,174,1,5,37
356200,TC-Election Day Reporting,963,287,29.8,42,92,12,91,,5,45
356200,TC-Vote by Mail Reporting,963,280,29.08,43,68,23,117,,1,28
356210,TC-Election Day Reporting,1050,365,34.76,48,103,28,148,1,1,36
356210,TC-Vote by Mail Reporting,1050,327,31.14,49,61,29,137,3,3,45
356500,TC-Election Day Reporting,1178,368,31.24,35,97,25,133,3,,75
356500,TC-Vote by Mail Reporting,1178,361,30.65,46,95,36,147,1,4,32
9224300,TC-Election Day Reporting,185,21,11.35,,3,,2,,,16
9224300,TC-Vote by Mail Reporting,185,120,64.86,30,36,5,26,,1,22
9224910,TC-Election Day Reporting,173,3,1.73,,,,,,,3
9224910,TC-Vote by Mail Reporting,173,154,89.02,20,56,4,52,,,22
9334510,TC-Election Day Reporting,2,0,0,,,,,,,
9334510,TC-Vote by Mail Reporting,2,1,50,,,,1,,,
9347110,TC-Election Day Reporting,411,39,9.49,1,2,,1,,,35
9347110,TC-Vote by Mail Reporting,411,212,51.58,35,58,12,83,4,,20
9356400,TC-Election Day Reporting,463,49,10.58,8,9,2,6,1,,23
9356400,TC-Vote by Mail Reporting,463,236,50.97,27,51,30,109,4,,15
9360900,TC-Election Day Reporting,30,1,3.33,,,,,,,1
9360900,TC-Vote by Mail Reporting,30,6,20,,2,1,2,,,1
9361000,TC-Election Day Reporting,323,23,7.12,3,1,,,,,19
9361000,TC-Vote by Mail Reporting,323,168,52.01,58,43,3,39,,1,24
9362000,TC-Election Day Reporting,346,33,9.54,,4,5,1,,,23
9362000,TC-Vote by Mail Reporting,346,159,45.95,42,26,8,64,3,1,15
