Precinct,Method,Registered,Ballots Cast,Turnout (%),LARRY E. REID,SHERYL WALTON,BEVERLY WILLIAMS,Write-In,Over Votes,Under Votes,
361300,TC-Election Day Reporting,502,169,33.67,72,36,17,,,44,
361300,TC-Vote by Mail Reporting,502,122,24.3,65,30,16,1,1,9,
361500,TC-Election Day Reporting,1062,383,36.06,143,128,38,5,3,66,
361500,TC-Vote by Mail Reporting,1062,291,27.4,139,94,42,1,,15,
373100,TC-Election Day Reporting,787,290,36.85,131,68,31,1,1,58,
373100,TC-Vote by Mail Reporting,787,241,30.62,136,68,23,1,1,12,
373400,TC-Election Day Reporting,1361,488,35.86,206,128,55,1,,98,
373400,TC-Vote by Mail Reporting,1361,356,26.16,189,96,34,,,37,
373900,TC-Election Day Reporting,1027,385,37.49,156,100,49,1,1,78,
373900,TC-Vote by Mail Reporting,1027,299,29.11,154,82,36,,,27,
400100,TC-Election Day Reporting,693,259,37.37,135,58,16,,,50,
400100,TC-Vote by Mail Reporting,693,315,45.45,191,80,12,1,1,30,
400200,TC-Election Day Reporting,780,322,41.28,162,95,18,,2,45,
400200,TC-Vote by Mail Reporting,780,346,44.36,191,108,21,1,1,24,
400300,TC-Election Day Reporting,792,298,37.63,175,69,11,1,,42,
400300,TC-Vote by Mail Reporting,792,384,48.48,236,101,24,1,1,21,
400400,TC-Election Day Reporting,556,186,33.45,91,58,7,1,,29,
400400,TC-Vote by Mail Reporting,556,277,49.82,153,84,16,,,24,
400500,TC-Election Day Reporting,550,215,39.09,96,68,20,3,,28,
400500,TC-Vote by Mail Reporting,550,226,41.09,138,61,10,,2,15,
400600,TC-Election Day Reporting,697,267,38.31,148,64,15,,,40,
400600,TC-Vote by Mail Reporting,697,322,46.2,191,101,12,1,1,16,
400700,TC-Election Day Reporting,739,273,36.94,132,88,24,1,,28,
400700,TC-Vote by Mail Reporting,739,334,45.2,152,133,20,1,3,25,
400800,TC-Election Day Reporting,756,289,38.23,132,96,17,1,,43,
400800,TC-Vote by Mail Reporting,756,249,32.94,128,79,22,,1,19,
400900,TC-Election Day Reporting,1318,426,32.32,187,129,30,1,,79,
400900,TC-Vote by Mail Reporting,1318,568,43.1,326,176,28,3,,35,
401100,TC-Election Day Reporting,1259,484,38.44,256,136,40,,1,51,
401100,TC-Vote by Mail Reporting,1259,464,36.85,272,111,43,1,4,33,
410100,TC-Election Day Reporting,1493,469,31.41,190,150,56,1,2,70,
410100,TC-Vote by Mail Reporting,1493,394,26.39,228,95,36,3,3,29,
410300,TC-Election Day Reporting,1112,369,33.18,167,79,45,5,1,72,
410300,TC-Vote by Mail Reporting,1112,319,28.69,150,95,59,5,,10,
410400,TC-Election Day Reporting,1471,531,36.1,258,133,42,3,1,94,
410400,TC-Vote by Mail Reporting,1471,520,35.35,309,134,40,7,1,29,
410500,TC-Election Day Reporting,739,301,40.73,111,100,34,5,1,50,
410500,TC-Vote by Mail Reporting,739,209,28.28,110,73,19,,,7,
410600,TC-Election Day Reporting,925,288,31.14,125,87,22,2,,52,
410600,TC-Vote by Mail Reporting,925,406,43.89,248,106,21,3,,28,
415000,TC-Election Day Reporting,841,320,38.05,145,106,24,4,1,40,
415000,TC-Vote by Mail Reporting,841,204,24.26,104,58,23,1,,18,
415200,TC-Election Day Reporting,659,234,35.51,96,58,38,3,,39,
415200,TC-Vote by Mail Reporting,659,195,29.59,116,50,19,,1,9,
415300,TC-Election Day Reporting,1083,385,35.55,192,80,44,2,1,66,
415300,TC-Vote by Mail Reporting,1083,358,33.06,192,98,41,3,,24,
415500,TC-Election Day Reporting,827,315,38.09,172,61,21,3,,58,
415500,TC-Vote by Mail Reporting,827,238,28.78,141,63,16,,1,17,
415600,TC-Election Day Reporting,847,282,33.29,146,62,21,4,1,48,
415600,TC-Vote by Mail Reporting,847,257,30.34,157,70,19,2,,9,
415800,TC-Election Day Reporting,723,283,39.14,129,89,25,14,,26,
415800,TC-Vote by Mail Reporting,723,197,27.25,97,64,24,7,,5,
415900,TC-Election Day Reporting,537,219,40.78,117,47,26,,1,28,
415900,TC-Vote by Mail Reporting,537,160,29.8,103,36,14,,,7,
9361210,TC-Election Day Reporting,0,0,0,,,,,,,
9361210,TC-Vote by Mail Reporting,0,0,0,,,,,,,
9361400,TC-Election Day Reporting,57,10,17.54,4,1,,1,,4,
9361400,TC-Vote by Mail Reporting,57,23,40.35,12,2,7,1,,1,
9373000,TC-Election Day Reporting,0,0,0,,,,,,,
9373000,TC-Vote by Mail Reporting,0,0,0,,,,,,,
9373010,TC-Election Day Reporting,0,0,0,,,,,,,
9373010,TC-Vote by Mail Reporting,0,0,0,,,,,,,
9373020,TC-Election Day Reporting,0,0,0,,,,,,,
9373020,TC-Vote by Mail Reporting,0,0,0,,,,,,,
9373030,TC-Election Day Reporting,0,0,0,,,,,,,
9373030,TC-Vote by Mail Reporting,0,0,0,,,,,,,
9416220,TC-Election Day Reporting,0,0,0,,,,,,,
9416220,TC-Vote by Mail Reporting,0,0,0,,,,,,,
